Bool With O3,,,
Network, states, time (ms), M states/s
passo_bool_10,10000000, Tempo: 476.00000000000000000000, M Estados/s 21.00840336134453778527
passo_bool_11,10000000, Tempo: 320.00000000000000000000, M Estados/s 31.25000000000000000000
passo_bool_12,10000000, Tempo: 383.33333333333331438553, M Estados/s 26.08695652173913259730
passo_bool_13,10000000, Tempo: 462.66666666666668561447, M Estados/s 21.61383285302593648680
passo_bool_14,10000000, Tempo: 479.00000000000000000000, M Estados/s 20.87682672233820468932
passo_bool_15,10000000, Tempo: 497.00000000000000000000, M Estados/s 20.12072434607645732285
passo_bool_17,10000000, Tempo: 728.00000000000000000000, M Estados/s 13.73626373626373542436
passo_bool_18,10000000, Tempo: 2036.00000000000000000000, M Estados/s 4.91159135559921367076
TLF without AVX,,,
Network, states, time (ms), M states/s
passo_tlf_10,10000000, Tempo: 476.00000000000000000000, M Estados/s 21.00840336134453778527
passo_tlf_11,10000000, Tempo: 796.66666666666662877105, M Estados/s 12.55230125523012674194
passo_tlf_12,10000000, Tempo: 706.00000000000000000000, M Estados/s 14.16430594900849726514
passo_tlf_13,10000000, Tempo: 862.33333333333337122895, M Estados/s 11.59644375724777631831
passo_tlf_14,10000000, Tempo: 1135.00000000000000000000, M Estados/s 8.81057268722466879751
passo_tlf_15,10000000, Tempo: 770.00000000000000000000, M Estados/s 12.98701298701298689764
passo_tlf_17,10000000, Tempo: 583.66666666666662877105, M Estados/s 17.13306681896059657788
passo_tlf_18,10000000, Tempo: 1876.66666666666674245789, M Estados/s 5.32859680284191838950
TLF with AVX,,,
Network, states, time (ms), M states/s
passo_tlf_10,10000000, Tempo: 229.00000000000000000000, M Estados/s 43.66812227074235863711
passo_tlf_11,10000000, Tempo: 270.33333333333331438553, M Estados/s 36.99136868064118743860
passo_tlf_12,10000000, Tempo: 215.00000000000000000000, M Estados/s 46.51162790697674154217
passo_tlf_13,10000000, Tempo: 289.66666666666668561447, M Estados/s 34.52243958573072291074
passo_tlf_14,10000000, Tempo: 352.66666666666668561447, M Estados/s 28.35538752362948855534
passo_tlf_15,10000000, Tempo: 248.33333333333334280724, M Estados/s 40.26845637583893022793
passo_tlf_17,10000000, Tempo: 289.66666666666668561447, M Estados/s 34.52243958573072291074
passo_tlf_18,10000000, Tempo: 984.66666666666662877105, M Estados/s 10.15572105619498977092
