No OMP
Network, states, time (ns), G states/s
passo_bool_1, 1000, 129256.66666666667151730508, 0.00773654485906594049
passo_bool_1, 10000, 1323350.33333333325572311878, 0.00755657798854473227
passo_bool_1, 100000, 11427870.66666666604578495026, 0.00875053655373302097
passo_bool_1, 1000000, 59033738.66666666418313980103, 0.01693946584759756929
passo_bool_1, 10000000, 512390498.00000000000000000000, 0.01951636503610572337
passo_tlf_1, 1000, 137597.33333333334303461015, 0.00726758270509118322
passo_tlf_1, 10000, 1308083.00000000000000000000, 0.00764477483462440866
passo_tlf_1, 100000, 11985178.33333333395421504974, 0.00834363888619651939
passo_tlf_1, 1000000, 76312664.33333332836627960205, 0.01310398488554933780
passo_tlf_1, 10000000, 528107423.00000000000000000000, 0.01893554145327739496
passo_bool_2, 1000, 187121.33333333334303461015, 0.00534412609287378531
passo_bool_2, 10000, 1906112.66666666674427688122, 0.00524627960082107731
passo_bool_2, 100000, 15999399.33333333395421504974, 0.00625023464422560203
passo_bool_2, 1000000, 94326338.33333332836627960205, 0.01060149283507824843
passo_bool_2, 10000000, 737901922.33333337306976318359, 0.01355193650719707307
passo_tlf_2, 1000, 181982.66666666665696538985, 0.00549502883058459839
passo_tlf_2, 10000, 1912714.33333333325572311878, 0.00522817225015131254
passo_tlf_2, 100000, 16665513.00000000000000000000, 0.00600041534875044025
passo_tlf_2, 1000000, 79999947.33333332836627960205, 0.01250000822917208577
passo_tlf_2, 10000000, 768816676.33333337306976318359, 0.01300700193925597402
passo_bool_3, 1000, 227718.66666666665696538985, 0.00439138352001592659
passo_bool_3, 10000, 2324599.66666666651144623756, 0.00430181598293842473
passo_bool_3, 100000, 18837212.00000000000000000000, 0.00530864121505878871
passo_bool_3, 1000000, 107849419.00000000000000000000, 0.00927218717793927040
passo_bool_3, 10000000, 877755580.00000000000000000000, 0.01139269316863813011
passo_tlf_3passo_bool_5, 1000, 80172.66666666667151730508, 0.01247307893795890528
passo_tlf_3passo_bool_5, 10000, 2088181.33333333325572311878, 0.00478885614020749164
passo_tlf_3passo_bool_5, 100000, 17555128.00000000000000000000, 0.00569634126279227378
passo_tlf_3passo_bool_5, 1000000, 86949912.00000000000000000000, 0.01150087420445002930
